model,term,estimate,std_err,t_stat,p_value,conf_lo,conf_hi,significant
Beetroot — Full xreg,ar1,0.822609,0.06211,13.2445,0,0.700874,0.944344,TRUE
Beetroot — Full xreg,ma1,-1.010505,0.076787,-13.1599,0,-1.161007,-0.860003,TRUE
Beetroot — Full xreg,ma2,0.194736,0.069651,2.7959,0.0052,0.058221,0.331251,TRUE
Beetroot — Full xreg,ma3,-0.024944,0.064585,-0.3862,0.6993,-0.151532,0.101643,FALSE
Beetroot — Full xreg,ma4,-0.09638,0.046885,-2.0556,0.0398,-0.188275,-0.004484,TRUE
Beetroot — Full xreg,api_energy_and_lubricants,-1.34e-4,8.03e-4,-0.1669,0.8674,-0.001708,0.00144,FALSE
Beetroot — Full xreg,api_fertilisers_and_soil_improvers,5.37e-4,2.59e-4,2.0755,0.0379,3e-5,0.001045,TRUE
Beetroot — Full xreg,api_plant_protection_products,-0.001828,0.001291,-1.4158,0.1568,-0.004358,7.02e-4,FALSE
Beetroot — Full xreg,api_fresh_fruit,-3.45e-4,3.99e-4,-0.8641,0.3875,-0.001126,4.37e-4,FALSE
Beetroot — Full xreg,api_fresh_vegetables,6.77e-4,8.12e-4,0.8334,0.4046,-9.15e-4,0.002269,FALSE
Beetroot — Full xreg,fuel_petrol_price,-0.002332,0.00152,-1.5338,0.1251,-0.005312,6.48e-4,FALSE
Beetroot — Full xreg,fuel_diesel_price,0.001134,0.001055,1.0748,0.2824,-9.34e-4,0.003201,FALSE
Beetroot — Full xreg,sppi_road_freight,-0.001414,0.001476,-0.9583,0.3379,-0.004306,0.001478,FALSE
Beetroot — Full xreg,shock_2021q4_2023q1,-0.04937,0.031079,-1.5885,0.1122,-0.110284,0.011545,FALSE
Beetroot — Full xreg,post_shock,0.001174,0.042465,0.0277,0.9779,-0.082057,0.084405,FALSE
Beetroot — Dummies only,ar1,0.86114,0.043796,19.6627,0,0.775301,0.946979,TRUE
Beetroot — Dummies only,ma1,-1.041168,0.062969,-16.5346,0,-1.164587,-0.917749,TRUE
Beetroot — Dummies only,ma2,0.204538,0.06792,3.0114,0.0026,0.071414,0.337662,TRUE
Beetroot — Dummies only,ma3,-0.039747,0.064039,-0.6207,0.5348,-0.165264,0.08577,FALSE
Beetroot — Dummies only,ma4,-0.085656,0.044349,-1.9314,0.0534,-0.17258,0.001267,FALSE
Beetroot — Dummies only,shock_2021q4_2023q1,-0.008127,0.029098,-0.2793,0.78,-0.065158,0.048905,FALSE
Beetroot — Dummies only,post_shock,0.039841,0.042156,0.9451,0.3446,-0.042785,0.122467,FALSE
